,product_name,price,receipt_id
0,VOLLKORNTORTILLA,2.58,Rewe_1.jpg
1,TOFU NATUR,4.38,Rewe_1.jpg
2,HAUCHSCHN CURRY,3.18,Rewe_1.jpg
3,HONEYPOMELO PINK,2.99,Rewe_1.jpg
4,DINKEL - CRUNCHY,2.59,Rewe_1.jpg
5,TARTEX SC TOSKA,2.69,Rewe_1.jpg
6,AUFSTRICH PAP . ZU,2.38,Rewe_1.jpg
7,BROT VITAL GF,5.98,Rewe_1.jpg
8,INST . NUDELGER . HU,2.07,Rewe_1.jpg
9,INST . NUDELG . ENTE,1.38,Rewe_1.jpg
10,LEERGUT EINWEG,-0.25,Rewe_1.jpg
11,BANANE,2.06,Rewe_2.jpg
12,ROTE BETE FRISCH,0.48,Rewe_2.jpg
13,ZUCCHINI GRUEN,1.78,Rewe_2.jpg
14,CHAMP . WEISS,1.99,Rewe_2.jpg
15,Rabatt 30 %,-0.6,Rewe_2.jpg
16,KRUSTENBROT,0.76,Rewe_2.jpg
17,WELTM . -MEHRKORN,1.99,Rewe_2.jpg
18,TORTILLA WEIZEN,2.98,Rewe_2.jpg
19,HONEYPOMELO PINK,2.29,Rewe_2.jpg
20,ZWIEBEL LAUCH,0.95,Rewe_2.jpg
21,BROCCOLI NEUTRAL,2.78,Rewe_2.jpg
22,EISBERGSALAT,0.89,Rewe_2.jpg
23,RUCOLA,1.19,Rewe_2.jpg
24,PORREE,0.79,Rewe_2.jpg
25,CHERRYROMATOMATE,0.99,Rewe_2.jpg
26,GURKE MINI,0.59,Rewe_2.jpg
27,PAPRIKA ROT,1.89,Rewe_2.jpg
28,BIO EIER OKT,3.19,Rewe_2.jpg
29,PIZZA MARGHERITA,2.79,Rewe_2.jpg
30,BUD & TERENCE,4.69,Rewe_2.jpg
31,AUFSTRICH PAP . ZU,1.35,Rewe_2.jpg
32,BROTAUFSTRICH ME,2.49,Rewe_2.jpg
33,NUTELLA,4.59,Rewe_2.jpg
34,STERNB . EXPORT,7.49,Rewe_2.jpg
35,"PFAND 3 , 10 EUR",3.1,Rewe_2.jpg
36,AUSLESE MILD,3.77,Rewe_2.jpg
37,SCHWAMMTUCH,1.9,Rewe_2.jpg
38,BROT CLASSIC GF,6.38,Rewe_3.jpg
39,MAISKOELBCHEN,8.97,Rewe_3.jpg
40,BITBURGER GLUTEN,12.58,Rewe_3.jpg
41,"PFAND 0,48 EUR",0.96,Rewe_3.jpg
42,LAMMSBRAEU GLUTE,5.56,Rewe_3.jpg
43,"PFAND 0,08 EUR",0.32,Rewe_3.jpg
44,KRUSTENBROT,0.63,Rewe_4.jpg
45,Rabatt 30 %,-0.19,Rewe_4.jpg
